Actual,Predicted,Model
3.485,2.3472253391010724,Ridge
2.209,1.6227987489928672,Ridge
0.308,0.4188487864113135,Ridge
1.68,1.7899091883370808,Ridge
0.621,2.79104165101446,Ridge
10.0,4.072910684921151,Ridge
0.52,0.8211099417828294,Ridge
1.428,1.7284293254101755,Ridge
1.579,1.689095923489603,Ridge
1.756,1.6749658377808991,Ridge
10.0,10.32830088285613,Ridge
0.218,0.3281168480485732,Ridge
0.193,0.30291353183670466,Ridge
0.823,0.9329964371334754,Ridge
3.896,4.229293960122266,Ridge
10.0,5.376567858038161,Ridge
-0.052,0.058189331419441714,Ridge
5.28,3.5335008759531235,Ridge
3.162,2.215044575590639,Ridge
1.73,3.8999875643367865,Ridge
3.815,7.571480772686833,Ridge
3.485,2.3659999999999997,DecisionTreeRegressor
2.209,2.066333333333333,DecisionTreeRegressor
0.308,0.3606666666666667,DecisionTreeRegressor
1.68,1.73,DecisionTreeRegressor
0.621,0.6085,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.52,1.037,DecisionTreeRegressor
1.428,1.327,DecisionTreeRegressor
1.579,1.478,DecisionTreeRegressor
1.756,1.7175,DecisionTreeRegressor
10.0,6.43,DecisionTreeRegressor
0.218,0.243,DecisionTreeRegressor
0.193,0.122,DecisionTreeRegressor
0.823,0.7136666666666667,DecisionTreeRegressor
3.896,5.0785,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
-0.052,0.122,DecisionTreeRegressor
5.28,5.4315,DecisionTreeRegressor
3.162,4.093,DecisionTreeRegressor
1.73,1.4213333333333333,DecisionTreeRegressor
3.815,10.0,DecisionTreeRegressor
3.485,5.723113912884707,GradientBoostingRegressor
2.209,5.723113912884707,GradientBoostingRegressor
0.308,5.723113912884707,GradientBoostingRegressor
1.68,5.723113912884707,GradientBoostingRegressor
0.621,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.52,5.723113912884707,GradientBoostingRegressor
1.428,5.723113912884707,GradientBoostingRegressor
1.579,5.723113912884707,GradientBoostingRegressor
1.756,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.218,5.723113912884707,GradientBoostingRegressor
0.193,5.723113912884707,GradientBoostingRegressor
0.823,5.723113912884707,GradientBoostingRegressor
3.896,5.776929916299895,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
-0.052,5.723113912884707,GradientBoostingRegressor
5.28,5.723113912884707,GradientBoostingRegressor
3.162,5.723113912884707,GradientBoostingRegressor
1.73,5.723113912884707,GradientBoostingRegressor
3.815,5.776929916299895,GradientBoostingRegressor
3.485,1.8815,RandomForestRegressor
2.209,2.159,RandomForestRegressor
0.308,0.369,RandomForestRegressor
1.68,1.831,RandomForestRegressor
0.621,0.813,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.52,-0.009,RandomForestRegressor
1.428,1.264,RandomForestRegressor
1.579,1.831,RandomForestRegressor
1.756,1.806,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.218,0.157,RandomForestRegressor
0.193,0.157,RandomForestRegressor
0.823,0.697,RandomForestRegressor
3.896,4.07,RandomForestRegressor
10.0,10.0,RandomForestRegressor
-0.052,0.157,RandomForestRegressor
5.28,5.26,RandomForestRegressor
3.162,5.26,RandomForestRegressor
1.73,1.191,RandomForestRegressor
3.815,4.07,RandomForestRegressor
3.485,1.6534539473684216,AdaBoostRegressor
2.209,1.6534539473684216,AdaBoostRegressor
0.308,1.6534539473684216,AdaBoostRegressor
1.68,1.6534539473684216,AdaBoostRegressor
0.621,1.6534539473684216,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.6534539473684216,AdaBoostRegressor
1.428,1.6534539473684216,AdaBoostRegressor
1.579,1.6534539473684216,AdaBoostRegressor
1.756,1.6534539473684216,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.6534539473684216,AdaBoostRegressor
0.193,1.6534539473684216,AdaBoostRegressor
0.823,1.6534539473684216,AdaBoostRegressor
3.896,3.9879599999999993,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
-0.052,1.6534539473684216,AdaBoostRegressor
5.28,3.9879599999999993,AdaBoostRegressor
3.162,3.9879599999999993,AdaBoostRegressor
1.73,1.6534539473684216,AdaBoostRegressor
3.815,3.9879599999999993,AdaBoostRegressor
3.485,2.3297913043478258,KNeighborsRegressor
2.209,2.209,KNeighborsRegressor
0.308,0.32614285714285607,KNeighborsRegressor
1.68,1.73,KNeighborsRegressor
0.621,0.621,KNeighborsRegressor
10.0,9.995629253219388,KNeighborsRegressor
0.52,0.5203076923076931,KNeighborsRegressor
1.428,1.428,KNeighborsRegressor
1.579,1.5788000000000033,KNeighborsRegressor
1.756,1.755333333333335,KNeighborsRegressor
10.0,5.520935660208377,KNeighborsRegressor
0.218,0.21770588235293473,KNeighborsRegressor
0.193,0.19241176470588045,KNeighborsRegressor
0.823,1.1633571428570977,KNeighborsRegressor
3.896,5.214546838822206,KNeighborsRegressor
10.0,9.990271835489246,KNeighborsRegressor
-0.052,0.10349355877616738,KNeighborsRegressor
5.28,5.280428571428569,KNeighborsRegressor
3.162,3.8567525300029484,KNeighborsRegressor
1.73,1.7305789473684212,KNeighborsRegressor
3.815,6.709251182390919,KNeighborsRegressor
3.485,0.8596074567913241,MLPRegressor
2.209,4.757440875751178,MLPRegressor
0.308,1.3951790886943525,MLPRegressor
1.68,1.9590779440850685,MLPRegressor
0.621,5.6922959355224245,MLPRegressor
10.0,8.781254823822326,MLPRegressor
0.52,6.670799261357709,MLPRegressor
1.428,6.696325185348125,MLPRegressor
1.579,1.9176147929534064,MLPRegressor
1.756,-0.21909729497920077,MLPRegressor
