id,OF1,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF12,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF29,OF30,OF31,OF32,OF33,OF34,OF35,OF36,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66a,F66b,F67,F68,S1,S2,S3,S4,S5,S6,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit
100.0,1,2,5,7,1,0.0,0.0,5,1,2,1,0.0,4,3,5,5,4,0.54,0.0,4,4,3,1,2,1,4,1887.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,2,42,4,1,0,0,0,1,1,1,1,3,2,4,2,1,2,3,4,2,3,5,0.0,0.0,2,2,1,4,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,2,2,4,0.0,3,3,1,5,0,0,5,1,4,1,1,5,1,0.0,0.0,1,0.0,0,6.67,,186.0,0.0,0.0,0.0,,,,,,1,0,1,1,0,1,1,2,1,1
102.0,1,4,5,7,1,0.0,0.0,5,4,3,1,0.0,5,2,4,5,4,0.52,0.0,4,4,2,1,3,3,4,1985.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,3,63,3,1,0,0,0,1,1,1,2,2,2,3,2,1,2,1,3,2,3,5,0.0,0.0,2,2,1,2,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,1.0,2,2,4,1.0,3,3,2,4,2,2,5,1,4,1,1,6,1,0.0,0.0,7,0.0,1,6.56,,81.0,0.0,0.0,0.0,,,,,,1,0,1,1,0,1,0,2,0,1
105.0,1,3,5,7,1,3.0,0.0,5,5,3,5,0.0,3,6,5,5,4,0.82,0.0,4,4,3,1,3,3,4,1408.0,2,6,0.0,0.0,0.0,,,,,0.0,2,2,3,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3,192,4,3,2,1,1,1,1,1,5,1,1,1,1,1,1,3,2,1,5,1,0.0,0.0,1,1,1,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,4,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,3,1,0.0,0.0,4,0.0,1,,,,,,0.0,,,,,,2,0,0,0,2,0,2,0,2,0
110.0,1,3,5,7,1,3.0,0.0,4,5,3,2,0.0,4,5,6,5,4,0.23,0.0,4,4,2,1,3,1,4,1624.0,0,6,0.0,0.0,0.0,,,,,0.0,2,2,4,2.0,1.0,0.0,1.0,0.0,3.0,4.0,1,72,3,1,0,0,0,1,1,2,3,3,2,2,2,1,3,4,3,3,2,5,0.0,0.0,2,2,2,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,4,2,3,1.0,2,3,1,4,1,2,5,2,4,3,2,3,1,0.0,0.0,7,0.0,0,5.48,28.0,,0.0,0.0,0.0,,,,,,2,0,0,0,2,0,2,0,2,0
111.0,1,3,4,6,4,3.0,0.0,4,1,2,3,0.0,6,6,2,5,4,0.16,0.0,4,4,3,1,3,3,4,2075.0,0,6,0.0,0.0,0.0,1.0,,,,0.0,1,2,3,1.0,0.0,3.0,0.0,3.0,2.0,2.0,2,160,1,2,3,1,2,1,1,2,4,3,1,1,1,1,2,3,2,1,5,5,0.0,0.0,1,1,1,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,4,0,0,1.0,3,2,1,5,0,0,4,1,4,1,1,0,1,0.0,0.0,7,1.0,0,7.12,,,0.0,0.0,0.0,,,,,,1,0,0,0,2,0,2,0,2,1
113.0,1,3,5,7,1,3.0,0.0,4,5,3,5,0.0,5,4,6,5,4,0.7,0.0,4,4,2,1,3,3,4,1579.0,2,6,0.0,0.0,0.0,,,,,0.0,2,4,0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3,64,4,3,2,2,2,1,1,2,3,2,2,3,1,1,2,4,3,3,1,2,0.0,0.0,3,3,3,5,1.0,4,3,5,3,1.0,0.0,0.0,2,0.0,0.0,2,2,2,1.0,2,3,1,4,2,2,5,1,4,1,1,4,1,0.0,0.0,3,0.0,1,5.95,,105.0,0.0,0.0,0.0,,,,,,1,0,1,1,1,0,1,0,1,0
114.0,1,4,5,7,1,3.0,0.0,5,5,3,5,0.0,3,6,6,3,4,0.51,0.0,4,4,3,1,3,3,4,1698.0,0,6,0.0,0.0,0.0,,,,,0.0,2,2,3,1.0,0.0,2.0,2.0,2.0,3.0,3.0,3,224,1,3,2,1,1,1,1,2,5,2,2,1,1,1,3,3,2,1,4,4,0.0,0.0,2,2,2,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2,2,4,0.0,3,3,1,5,0,0,5,1,4,1,0,6,1,0.0,0.0,7,0.0,1,3.9,,90.0,0.0,0.0,0.0,,,,,,1,0,1,0,0,0,1,0,0,0
127.0,1,4,5,7,1,3.0,0.0,4,5,3,4,0.0,3,4,6,4,4,0.51,0.0,4,4,2,1,3,3,3,1624.0,2,6,0.0,0.0,0.0,,,,,0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1,0,4,3,1,2,2,1,1,2,4,2,2,3,1,1,1,3,2,3,2,2,0.0,0.0,2,3,2,5,1.0,3,1,1,2,1.0,0.0,0.0,2,0.0,0.0,2,1,4,0.0,1,3,1,5,0,0,5,1,3,1,0,6,1,0.0,0.0,7,0.0,2,6.07,,41.0,0.0,,0.0,0.0,,0.0,0.0,,1,0,1,1,0,0,1,0,1,0
128.0,1,4,5,7,1,0.0,0.0,4,5,3,4,0.0,5,3,6,5,4,0.76,0.0,4,4,3,1,3,3,4,1579.0,0,6,0.0,0.0,0.0,,,,,0.0,2,1,3,1.0,0.0,1.0,0.0,1.0,4.0,2.0,1,192,3,1,0,0,0,1,1,1,4,2,2,1,1,2,3,3,2,2,4,2,0.0,0.0,2,2,2,5,1.0,5,4,5,3,1.0,0.0,0.0,2,0.0,0.0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,0.0,0.0,7,0.0,1,3.96,,230.0,0.0,0.0,0.0,,,,,,2,0,0,0,2,0,2,0,2,0
12.0,1,4,5,7,1,3.0,0.0,4,5,3,4,0.0,6,4,6,5,4,0.66,0.0,0,0,2,1,3,2,4,1357.0,0,6,0.0,0.0,0.0,,,,,0.0,2,2,3,1.0,0.0,2.0,1.0,2.0,3.0,3.0,2,128,4,3,1,1,1,1,1,2,4,2,2,1,1,2,1,3,2,2,2,2,0.0,0.0,2,5,2,5,1.0,5,3,5,2,1.0,0.0,1.0,2,1.0,0.0,2,1,2,0.0,1,3,1,5,0,0,5,1,4,1,0,6,1,0.0,0.0,7,0.0,1,4.16,,52.0,1.0,0.0,0.0,,,,,,1,0,1,1,1,2,1,2,1,2
